0,3
1,6
2,7
3,7
4,7
5,3
6,5
7,5
8,8
9,5
10,7
11,5
12,8
13,9
14,7
15,2
16,12
17,1
18,5
19,6
20,3
21,6
22,7
23,7
24,6
25,3
26,1
27,7
28,4
29,7
30,3
31,6
32,8
33,3
34,5
35,5
36,6
37,5
38,8
39,8
40,3
41,7
42,5
43,5
44,8
45,8
46,4
47,6
48,7
49,4
50,6
51,5
52,6
53,4
54,9
55,3
56,6
57,6
58,6
59,6
60,6
61,5
62,12
63,2
64,8
65,5
66,4
67,4
68,4
69,6
70,4
71,6
72,6
73,2
74,6
75,2
76,5
77,11
78,4
79,10
80,6
81,8
82,8
83,5
84,5
85,4
86,4
87,11
88,5
89,5
90,3
91,6
92,11
93,2
94,3
95,8
96,11
97,6
98,8
99,6
100,6
101,5
102,7
103,4
104,7
105,6
106,9
107,5
108,9
109,6
110,6
111,5
112,7
113,5
114,7
115,2
116,9
117,8
118,7
119,5
120,6
121,3
122,8
123,2
124,9
125,7
126,4
127,4
128,5
129,11
130,5
131,6
132,3
133,5
134,6
135,3
136,7
137,6
138,6
139,7
140,8
141,8
142,5
143,4
144,7
145,5
146,5
147,11
148,8
149,6
