0,17
1,18
2,15
3,17
4,13
5,15
6,15
7,18
8,10
9,17
10,16
11,20
12,18
13,10
14,13
15,9
16,12
17,17
18,17
19,13
20,14
21,17
22,17
23,12
24,16
25,8
26,11
27,13
28,13
29,8
30,20
31,13
32,17
33,12
34,10
35,23
36,13
37,17
38,12
39,14
40,16
41,15
42,15
43,14
44,14
45,13
46,11
47,16
48,14
49,9
50,19
51,20
52,16
53,10
54,9
55,20
56,11
57,10
58,11
59,16
60,9
61,8
62,17
63,10
64,17
65,16
66,8
67,8
68,19
69,12
70,14
71,14
72,14
73,11
74,16
75,11
76,7
77,19
78,21
79,15
80,19
81,13
82,17
83,10
84,13
85,13
86,8
87,13
88,15
89,17
90,16
91,12
92,18
93,11
94,12
95,17
96,12
97,12
98,10
99,6
100,15
101,8
102,12
103,16
104,17
105,14
106,14
107,14
108,18
109,15
110,24
111,16
112,11
113,17
114,22
115,20
116,11
117,21
118,20
119,15
120,17
121,20
122,16
123,16
124,13
125,16
126,14
127,13
128,15
129,19
130,15
131,13
132,18
133,20
134,18
135,13
136,17
137,13
138,16
139,16
140,13
141,9
142,19
143,14
144,17
145,18
146,16
147,14
148,10
149,18
